Country/Region,Recovered,Latitude,Longitude,Average Temperature,Average Humidity
Afghanistan,135.0,33.93911,67.709953,6.216666667,56.93333333
Albania,327.0,41.153332,20.168331,13.95,69.9
Algeria,1099.0,28.033886,1.6596259999999998,19.56666667,61.71666667
Andorra,248.0,42.546245,1.6015540000000001,7.3833333329999995,75.23333333
Angola,6.0,-11.202691999999999,17.873887,,
Antigua and Barbuda,3.0,17.060816,-61.796428000000006,25.71666667,75.15
Argentina,737.0,-38.416097,-63.616671999999994,32.81666667,43.61666667
Armenia,580.0,40.069099,45.038189,7.1,58.5
Australia,1379.0,-25.274398,133.775136,25.78333333,64.23333333
Austria,10631.0,47.516231,14.550072,9.466666667,65.35
Azerbaijan,791.0,40.143105,47.576927000000005,10.16666667,68.08333333
Bahamas,11.0,25.03428,-77.39628,23.26666667,76.55
Bahrain,769.0,25.930414000000003,50.637772,20.36666667,63.51666667
Bangladesh,85.0,23.684994,90.35633100000001,30.28333333,42.35
Barbados,19.0,13.193887,-59.543198,26.9,74.95
Belarus,514.0,53.709807,27.953389,3.983333333,81.48333333
Belgium,8895.0,50.503887,4.469936,9.533333333,78.41666667
Belize,2.0,17.189877,-88.49765,,
Benin,27.0,9.30769,2.315834,35.13333333,69.0
Bhutan,2.0,27.514162,90.433601,8.866666667,73.68333333
Bolivia,31.0,-16.290154,-63.588653,20.3,70.7
Bosnia and Herzegovina,381.0,43.915886,17.679076000000002,7.966666667,81.71666667
Botswana,0.0,-22.328474,24.684866,,
Brazil,22130.0,-14.235004,-51.92528,25.81666667,81.68333333
Brunei,116.0,4.535277,114.72766899999999,29.18333333,81.75
Bulgaria,167.0,42.733883,25.48583,9.3,73.53333333
Burkina Faso,357.0,12.238333,-1.561593,37.75,10.98333333
Burundi,4.0,-3.3730559999999996,29.918885999999997,,
Cambodia,107.0,12.565679,104.990963,35.45,55.51666667
Cameroon,305.0,7.369722,12.354722,35.11666667,65.41666667
Canada,12543.0,56.130366,-106.34677099999999,-1.8666666669999998,88.58333333
Central African Republic,4.0,6.611111,20.939444,40.15,33.9
Chad,8.0,15.454166,18.732207,,
Chile,4676.0,-35.675146999999996,-71.542969,25.86666667,36.43333333
China,64435.0,35.86166,104.195397,9.9,39.03333333
Colombia,804.0,4.570868,-74.297333,21.1,79.7
Congo [DRC],27.0,-4.038333000000001,21.758664000000003,,
Costa Rica,124.0,9.748917,-83.753428,,
Croatia,771.0,45.1,15.2,11.88333333,66.6
Cuba,285.0,21.521757,-77.78116700000001,27.4,77.0
Cyprus,81.0,35.126413,33.429859,15.41666667,71.11666667
Czech Republic,1559.0,49.817492,15.472961999999999,7.8833333329999995,72.53333333
C̫te d'Ivoire,260.0,7.539989,-5.54708,38.05,53.93333333
Denmark,4312.0,56.26392,9.501785,0.8611111109999999,78.99444444
Djibouti,102.0,11.825138,42.590275,27.28333333,70.66666667
Dominica,8.0,15.414999,-61.370976,,
Dominican Republic,416.0,18.735692999999998,-70.162651,,
Ecuador,1150.0,-1.8312389999999998,-78.183406,19.26666667,73.25
Egypt,821.0,26.820553000000004,30.802497999999996,21.25,52.08333333
El Salvador,46.0,13.794185,-88.89653,,
Equatorial Guinea,7.0,1.6508009999999997,10.267895,28.66666667,78.6
Eritrea,3.0,15.179383999999999,39.782334000000006,,
Estonia,165.0,58.595271999999994,25.013607,3.233333333,82.4
Ethiopia,16.0,9.145,40.489672999999996,22.55,56.41666667
Fiji,3.0,-16.578193,179.414413,,
Finland,2000.0,61.92411,25.748151,2.8,81.25
France,37409.0,46.227638,2.213749,14.58166667,73.82833333
Gabon,7.0,-0.803689,11.609444,29.5,77.43333333
Gambia,2.0,13.443182,-15.310139000000001,29.45,47.86666667
Gaza Strip,71.0,31.354676,34.308825,,
Georgia,95.0,42.315407,43.356891999999995,9.983333333,58.98333333
Germany,91500.0,51.165690999999995,10.451526,8.516666667,74.21666667
Ghana,99.0,7.946527000000001,-1.0231940000000002,31.43333333,71.58333333
Greece,269.0,39.074208,21.824312,14.93333333,66.36666667
Grenada,6.0,12.262775999999999,-61.604170999999994,,
Guatemala,21.0,15.783470999999999,-90.23075899999999,27.13333333,72.95
Guinea,122.0,9.945587,-9.696645,28.66666667,78.6
Guinea-Bissau,3.0,11.803749,-15.180413,,
Guyana,9.0,4.860416000000001,-58.93018000000001,31.0,77.88333333
Haiti,1.0,18.971187,-72.28521500000001,,
Honduras,25.0,15.199998999999998,-86.241905,28.48333333,69.05
Hungary,267.0,47.162494,19.503304,9.766666667,64.73333333
Iceland,1362.0,64.96305100000001,-19.020835,0.7,74.73333333
India,3273.0,20.593684,78.96288,26.53333333,44.3
Indonesia,747.0,-0.789275,113.921327,32.91666667,62.03333333
Iran,59273.0,32.427908,53.68804599999999,11.91666667,44.28333333
Iraq,1043.0,33.223191,43.679291,20.3,41.76666667
Ireland,77.0,53.41291,-8.243889999999999,8.3,80.08333333
Israel,4049.0,31.046051000000002,34.851612,13.76666667,73.61666667
Italy,48877.0,41.87194,12.56738,15.78333333,64.78333333
Jamaica,27.0,18.109581,-77.297508,28.48333333,74.26666667
Japan,1159.0,36.204824,138.252924,13.26666667,51.0
Jordan,282.0,30.585164000000002,36.238414,13.58333333,70.25
Kazakhstan,447.0,48.019573,66.923684,-4.816666667,89.13333333
Kenya,69.0,-0.023559,37.906193,26.13333333,71.4
Kosovo,93.0,42.602636,20.902977,9.216666667,74.68333333
Kuwait,367.0,29.311659999999996,47.481766,19.93333333,49.78333333
Kyrgyzstan,201.0,41.20438,74.766098,7.3,65.6
Laos,2.0,19.856270000000002,102.495496,,
Latvia,88.0,56.879635,24.603189,4.833333333,78.66666667
Lebanon,103.0,33.854721000000005,35.862285,15.98333333,66.01666667
Liberia,7.0,6.4280550000000005,-9.429499,30.28333333,79.83333333
Libya,15.0,26.3351,17.228331,,
Liechtenstein,55.0,47.166000000000004,9.555373,5.8833333329999995,78.96666667
Lithuania,242.0,55.169438,23.881275,4.416666667,80.9
Luxembourg,637.0,49.815273,6.129583,8.0,84.18333333
Macedonia [FYROM],200.0,41.608635,21.745275,,
Madagascar,41.0,-18.766947000000002,46.869107,,
Malawi,3.0,-13.254307999999998,34.301525,,
Malaysia,3295.0,4.210483999999999,101.97576600000001,33.86666667,72.68333333
Maldives,16.0,3.202778,73.22068,28.28333333,75.06666667
Mali,56.0,17.570692,-3.9961660000000006,,
Malta,126.0,35.937496,14.375416,15.6,73.1
Mauritania,6.0,21.00789,-10.940835,30.88333333,30.8
Mauritius,224.0,-20.348404000000002,57.552152,28.2,79.25
Mexico,2627.0,23.634501,-102.552784,26.93333333,42.4
Moldova,457.0,47.411631,28.369884999999996,10.5,64.61666667
Monaco,23.0,43.750298,7.412841,14.05,62.23333333
Mongolia,7.0,46.862496,103.84665600000001,-9.333333332999999,82.3
Montenegro,88.0,42.708678000000006,19.37439,12.48333333,67.78333333
Morocco,350.0,31.791702,-7.09262,18.96666667,72.31666667
Mozambique,8.0,-18.665695,35.529562,,
Myanmar [Burma],7.0,21.913965,95.956223,,
Namibia,6.0,-22.957639999999998,18.49041,27.25,49.68333333
Nepal,4.0,28.394857000000002,84.12400799999999,18.85,66.63333333
Netherlands,250.0,52.132633,5.291266,13.37083333,78.64166667
New Zealand,974.0,-40.900557,174.88597099999998,18.7,79.25
Nicaragua,6.0,12.865416,-85.207229,,
Niger,117.0,17.607789,8.081666,,
Nigeria,188.0,9.081999,8.675277000000001,39.86666667,18.21666667
Norway,32.0,60.472024,8.468946,2.383333333,79.36666667
Oman,238.0,21.512583,55.923255000000005,24.4,55.96666667
Pakistan,1970.0,30.375321000000003,69.345116,20.85,53.01666667
Panama,165.0,8.537981,-80.782127,31.5,77.85
Papua New Guinea,0.0,-6.314993,143.95555,,
Paraguay,46.0,-23.442503,-58.44383199999999,36.93333333,50.95
Peru,6968.0,-9.189967,-75.015152,25.86666667,74.85
Philippines,613.0,12.879721,121.77401699999999,30.9,65.88333333
Poland,1133.0,51.919438,19.145135999999997,7.05,70.78333333
Portugal,610.0,39.399871999999995,-8.224454,17.28333333,75.61666667
Qatar,555.0,25.354826,51.183884,22.91666667,56.98333333
Romania,2017.0,45.943160999999996,24.96676,11.56666667,62.1
Russia,3446.0,61.52401,105.31875600000001,2.016666667,85.46666667
Rwanda,76.0,-1.940278,29.873888,26.53333333,81.08333333
Saint Kitts and Nevis,0.0,17.357822,-62.782998,,
Saint Lucia,13.0,13.909444,-60.97889300000001,27.08333333,75.3
Saint Vincent and the Grenadines,1.0,12.984305,-61.287228000000006,26.33333333,76.53333333
San Marino,61.0,43.94236,12.457777,,
Saudi Arabia,1490.0,23.885942,45.079162,24.5,26.55
Senegal,235.0,14.497401000000002,-14.452361999999999,24.35,63.31666667
Serbia,870.0,44.016521000000004,21.005859,11.45,63.88333333
Seychelles,5.0,-4.679574,55.491977,20.68333333,43.26666667
Sierra Leone,6.0,8.460555000000001,-11.779889,,
Singapore,801.0,1.352083,103.819836,30.2,76.48333333
Slovakia,251.0,48.669026,19.699023999999998,9.033333333,71.78333333
Slovenia,193.0,46.151241,14.995463,9.066666667,79.46666667
Somalia,4.0,5.152149,46.199616,29.2,76.46666667
South Africa,1055.0,-30.559482,22.937506,29.81666667,47.68333333
South Korea,8114.0,35.907757000000004,127.766922,5.9,63.48333333
Spain,80587.0,40.463667,-3.7492199999999998,16.13333333,65.66666667
Sri Lanka,98.0,7.873054,80.77179699999999,32.28333333,75.18333333
Sudan,8.0,12.862807,30.217636,38.15,29.83333333
Suriname,6.0,3.9193050000000005,-56.02778299999999,29.85,75.86666667
Sweden,550.0,60.128161,18.643501,4.65,76.78333333
Switzerland,18600.0,46.818188,8.227511999999999,9.45,78.63333333
Syria,5.0,34.802075,38.996815000000005,,
Taiwan,203.0,23.69781,120.96051499999999,20.81666667,71.53333333
Tanzania,11.0,-6.369028,34.888822,25.9,86.98333333
Thailand,1999.0,15.870032,100.992541,35.26666667,53.58333333
Timor-Leste,1.0,-8.874217,125.727539,,
Togo,53.0,8.619543,0.824782,32.8,68.15
Trinidad and Tobago,22.0,10.691803,-61.222503,,
Tunisia,148.0,33.886917,9.537499,18.5,67.6
Turkey,13430.0,38.963745,35.243322,8.7,67.53333333
Uganda,38.0,1.373333,32.290275,,
Ukraine,359.0,48.379433,31.16558,6.433333332999999,74.58333333
United Arab Emirates,1360.0,23.424076,53.847818000000004,21.93333333,92.31666667
United Kingdom,344.0,55.378051,-3.435973,6.433333332999999,74.58333333
United States of America,72329.0,37.09024,-95.712891,13.75,73.4
Uruguay,313.0,-32.522779,-55.765834999999996,28.7,55.98333333
Uzbekistan,261.0,41.377491,64.585262,13.56666667,52.05
Venezuela,117.0,6.42375,-66.58973,24.78333333,79.51666667
Vietnam,214.0,14.058323999999999,108.277199,24.16666667,73.75
Western Sahara,0.0,24.215526999999998,-12.885834,,
Yemen,0.0,15.552726999999999,48.516388,,
Zambia,35.0,-13.133897,27.849332,24.96666667,87.76666667
Zimbabwe,2.0,-19.015438,29.154857,,
